x,y,class
-4.533623407701417,-2.368778718414611,0
-6.2545629014624,-0.7188261268057521,0
-7.283382625556056,-9.615721322231838,1
-8.59197385401104,-9.042778506877994,1
4.140312125406139,10.453644577326786,2
2.799545968276458,7.2091065222451585,2
-7.732105001181473,-8.402550052887696,1
-6.420962050290106,-7.654068354905539,1
-8.659546164334255,-8.337347376272902,1
6.2429947501792045,8.562642701854655,2
-3.3472150512610566,2.9898569110348534,0
-2.803356953359761,-0.8257397727514492,0
-7.633982010252409,-8.626654479425888,1
-4.673733183190633,-0.3439963404717419,0
-6.9893314561364015,-7.595061748917814,1
3.428897512221047,8.760697248616308,2
3.666187126936927,10.707519565536185,2
-7.423658490725549,-7.293287770036072,1
3.5390713740224395,8.873987956374304,2
-4.366884494397116,-0.5954021865171016,0
-7.676261358749721,-7.479267194840477,1
-4.829945262489643,-0.7608806750608004,0
-8.75358337225854,-9.142630399584345,1
-4.687058573015655,0.10914165153822203,0
-4.952594289549326,-0.7461175727216147,0
-4.696849605012232,-1.2358833880885018,0
-8.231781147493534,-8.427165017300839,1
-7.823596913453696,-7.874303407809393,1
3.838491932366912,8.431431922033985,2
-7.161406402202847,-8.602962410912271,1
-4.512692623316958,-0.25466027035949973,0
-7.511722863127833,-7.776991299542378,1
-5.133635088223855,0.8398195568025484,0
-2.434905604293422,0.39621060218409676,0
-7.323912529237304,-9.20585178085056,1
-4.276460334682053,-0.731537162167323,0
-8.807863591102675,-8.730037084497233,1
6.140929199795898,8.90569020454236,2
-7.259661917287347,-9.541477226592487,1
-9.108732236490262,-8.092090311835712,1
-3.684064752044026,-1.155834545431646,0
-2.140823056871762,2.2119404443548234,0
-9.460014206355016,-8.895752791588857,1
3.1823451232341466,9.463050417994875,2
-5.748826094597567,-9.280796996360847,1
-5.558127103050305,-0.8546734139978663,0
-7.17073659574305,-7.460145545245516,1
3.0540662890361445,10.468151759292944,2
-3.0218127821435505,0.4267602337352544,0
-5.554024342312329,0.535576391577621,0
-3.5149152223567954,-0.30629213170856756,0
6.0460797315831565,6.573809020970718,2
-7.7152104091718465,-8.303403968260676,1
5.770936218387908,9.317645643791769,2
-4.432785288217656,0.14449260753810467,0
-6.120846227012439,-0.9962594856623459,0
-4.313659798972978,-1.453983174891403,0
-4.3482277981456,0.3520304164144433,0
-4.640684382099797,0.08841812583645137,0
-9.233840304964511,-9.728544871493781,1
-8.187086701524954,-7.151162567554441,1
3.6476483699827966,9.573380939784322,2
5.089980727677698,8.177206965089189,2
3.524754769041198,9.316610924755555,2
-6.67805183736508,-7.372520113148714,1
4.533392300696392,8.741980761537686,2
-3.7651290792027714,0.7498547200095049,0
-4.706877238366648,-0.2296731115758005,0
3.5418452033554737,11.579914674291016,2
-7.063379842698259,-9.263967134574854,1
-7.0535705155069515,-7.82702215000987,1
4.214440318097743,8.593163715075207,2
-5.722373211565149,-8.221010026535435,1
2.8801897897277415,9.53191310332935,2
5.2664447684123905,8.139934613743574,2
-8.00826318027172,-9.643349749653863,1
3.1968836106668497,8.607180181052671,2
-9.60825963303109,-7.9560740668645265,1
4.258462737255274,11.265218859668803,2
-7.70950972829882,-9.348952975187299,1
-8.1115415267981,-8.107710206183054,1
-2.965719834936081,-3.1199571387337115,0
-3.4269885600515018,-1.2735959439766837,0
3.169653561699711,7.9211793458316775,2
-6.650245990682238,-7.660905722152239,1
-3.4053304446247434,-2.396436892476151,0
-7.620596497191279,-9.127532948001864,1
4.791832921189743,9.817297802735428,2
-6.056703238573961,-8.12457233034598,1
-3.710889245193826,1.3127358196730379,0
-3.8534342936214476,-1.8295813791532571,0
-7.779152390792893,-8.71555013736324,1
-8.835605586655817,-7.449854889371764,1
-4.605788792787797,-0.6414146282727069,0
6.220059116423176,9.23118390553818,2
-5.080751986006289,-0.8116535270515488,0
-3.736877279305975,-1.0894767766154332,0
4.368275730395552,9.932186580075685,2
1.4871309679375617,9.298463798158366,2
-7.525920831010502,-7.221074673875018,1
-8.988477251644582,-8.190630387111332,1
-8.80658882714906,-8.798893564763612,1
-3.9356678400950216,-1.8916044478316012,0
-8.140114550995317,-6.7598852708395025,1
3.816614965191412,9.62571289935859,2
-6.568936217584334,-8.064232972748561,1
-8.491386096338355,-7.905453989628632,1
3.619954547078512,8.906755941400094,2
-3.904917634544107,0.8530355095082556,0
-3.4559086589876573,-0.5225614520447995,0
-8.065970104465826,-7.098321377663788,1
-3.153676526587809,1.0014580437086598,0
4.989160128733975,9.095631411214677,2
-6.541438720756697,-8.167588592631123,1
-5.158964367325566,-1.8313950087367732,0
-6.4037334014623095,-9.16662772348541,1
3.327065321291903,9.799718603153051,2
-4.420142926210377,-0.6048056230897616,0
3.420264436431907,8.536420957218784,2
-4.326071926786876,0.0823741958546812,0
-5.919265311909948,0.3782841429210736,0
-5.266164271781673,-1.4737740203113536,0
-4.177388374218535,1.212024355503704,0
-3.9049265890388014,0.39227856067216893,0
5.666725315058425,9.054228907023578,2
-7.4134018631942595,-9.41091969375437,1
-6.59217805138849,-7.432519523927542,1
-7.388977943176115,-6.622191893284899,1
3.775785803395818,7.370723417946707,2
-4.987136067558544,-0.1933683674965908,0
3.9120190696600017,8.263525403400688,2
-9.53546194255059,-8.440698077619889,1
4.23737694936078,10.210885700323217,2
-5.018028556725879,-0.6870354446089382,0
3.785090232520718,11.169250965207722,2
-8.033294383400067,-7.0833960238903675,1
3.8419270556650975,9.440730534389333,2
4.7044323433876665,8.007879885383305,2
-3.990787574441425,-0.6297035993153244,0
4.698882896328776,8.821794359578842,2
3.54965234431909,7.481604885856219,2
-4.044532344348454,-1.3918785545508965,0
